1013211,000208766
1492190,000272872
1728371,000213155
1013350,000208767
1712216,000272672
1006879,000208781
1704695,000212228
1704760,000212230
1592330,000213325
1728575,000213157
1645496,000296374
1725798,000118537
1725982,000118585
1035409,000208769
1035479,000208771
1035498,000208773
1035533,000208774
1035544,000208776
1035640,000208777
1541386,000213296
1036216,000208778
1036231,000208779
1036589,000208782
1036614,000208784
1036723,000208785
1036754,000208787
1036875,000208789
1036900,000208792
1726025,000211102
1726071,000213161
1713769,000272876
1728892,000213163
1645714,000296377
1726279,000318286
1726441,000118588
1726588,000118623
1726682,000118678
1726822,000211103
1726874,000318285
1969535,000312564
1729085,000213164
1458552,000213270
1543506,000213328
1492073,000213306
1500236,000213293
1502688,000213272
1503042,000213276
1503132,000213281
1821296,000321777
1506009,000213287
1506018,000213289
1506252,000213291
1585305,000213319
1585468,000213321
1582791,000213327
1585626,000213323
1585645,000213324
1597854,000213322
1790394,000320485
1790527,000320495
1585655,000213326
1412811,000118558
1412927,000210290
1412968,000210291
1413005,000210292
1413035,000210293
1413047,000210294
1413055,000210295
1413099,000210296
1413107,000210297
1413153,000210298
1413167,000210299
1413175,000210300
1413183,000210301
1413191,000210302
1413199,000210303
1413207,000210304
1413219,000210305
1413239,000210306
1413250,000210307
1413264,000210314
1413276,000210315
1413284,000210318
1413294,000210319
1413306,000210321
1413316,000210322
1586266,000266697
1426119,000213265
1656252,000212180
1769281,000320478
1769414,000320480
1769532,000320482
1779910,000320481
1780042,000320483
1780174,000320484
1780306,000320486
1780438,000320487
1780570,000320488
1780702,000320489
1780834,000320490
1780966,000320491
1781098,000320492
1781226,000320493
1781359,000320494
1781491,000320496
1781623,000320497
1781755,000320498
1781887,000320499
1782019,000320500
1782151,000320501
1782284,000320502
1782416,000321776
1782635,000321779
1782778,000321780
1970494,000312567
1788094,000321781
1637732,000272875
1646561,000272763
1650800,000212176
1650939,000296378
1675106,000232594
1675148,000296387
1698679,000212185
1698710,000212218
1679043,000212182
1679108,000212213
1691875,000212237
1691893,000212238
1691908,000212241
1774197,000320479
1698769,000212223
1698787,000212240
1707512,000212227
1691940,000313188
1691984,000313192
1691999,000313193
1692009,000313195
1692020,000313196
1692045,000313199
1692062,000313200
1692073,000313201
1692105,000313202
1692119,000313204
1692135,000313205
1796710,000321778
1801275,000213183
1801635,000213185
1801657,000213186
1835972,000213181
1812037,000213202
1812066,000213222
1812144,000213224
1812160,000213226
1812377,000213184
1814488,000213187
1814529,000213188
1814543,000213190
1816869,000213194
1818241,000213228
1818298,000213237
1818491,000213241
1818530,000213245
1818827,000213217
1832686,000212400
1833817,000214953
1833901,000118476
1834307,000212401
1834363,000214949
1834495,000227962
1834523,000276597
1834796,000276598
1834971,000324864
1836638,000227200
1839318,000214945
1841925,000214944
1842274,000214946
1847343,000118655
1850449,000118506
1850615,000118815
1850647,000213244
1857460,000215296
1857516,000215297
1857581,000215298
1857657,000215299
1857678,000215300
1857701,000215301
1857746,000317491
1857953,000317493
1524831,000213317
1872785,000211461
1874218,000214947
1875742,000211463
1877524,000211462
1879994,000212343
1880010,000212338
1880170,000212339
1880278,000212340
1880296,000212342
1880312,000212346
1880588,000215762
1881049,000328241
1882654,000212350
1887436,000212352
1937203,000212354
1888713,000215802
1888916,000215803
1905263,000212341
1905291,000212344
1911036,000328224
1911420,000328242
1911466,000328244
1913500,000210706
1913529,000210713
1913567,000210722
1907811,000118659
1928572,000276591
1928578,000276594
1928581,000276595
1928584,000276596
1972391,000214003
1972849,000213994
1926662,000210704
1926669,000210707
1926708,000210714
1926733,000210715
1926743,000210716
1926766,000210717
1926783,000210719
1926820,000210723
1926839,000276590
1927331,000276592
1927593,000276593
1927802,000317488
1928032,000317489
1936735,000212347
1909018,000212345
1909258,000312559
1910014,000312560
1941318,000312561
1972946,000312565
1947886,000312562
1949048,000312563
1478126,000213286
1961073,000211465
1964874,000211467
1964898,000211469
1964912,000211473
1969128,000329460
1974990,000312566
1976382,000312569
2017880,000312568
1857721,000215302
1857725,000215307
1698985,000313197
1699006,000313198
1699149,000313206
1699204,000313207
1481266,000272821
1481494,000272838
1586308,000266698
1532856,000213307
1532876,000213311
1532901,000213312
1532932,000213314
1533386,000213309
1533981,000213316
1703081,000212215
1435607,000213263
1703185,000212219
1703264,000212221
1703322,000212226
1751269,000320029
